,DEPTH,GR,Rt,RHOB,NPHI,Porosity_Density,Vshale,Porosity_Gaymard,Effective_Porosity,Formation_Factor,Rt_Ashale,Ro,Ish,Sw
0,2106.0,55.315,41.993,2729.732,0.19442,0.0,0.40138554216867467,0.13747570039828858,0.08229494185890322,115.02467869250523,446.16135238798523,115.02467869250523,3.8788315469300776,0.4899563729572296
1,2106.125,46.849,47.918,2684.776,0.20444000000000004,0.014750877192982549,0.29938554216867463,0.14493671373734549,0.10154475711494432,77.15263092872577,241.93039321663736,77.15263092872577,3.1357374376530935,0.5479848901523963
2,2106.25,39.44,55.298,2546.362,0.21201,0.09569473684210522,0.21012048192771082,0.16447754065415707,0.12991744054562093,48.309421110889225,167.06877500193843,48.309421110889225,3.4583062922333414,0.5204603570674813
3,2106.375,33.743,64.67399999999999,2401.5860000000002,0.1959,0.18035906432748525,0.1414819277108434,0.1882899387714144,0.16165031526547802,31.893673479007827,138.863667560655,31.893673479007827,4.353956519058678,0.4610470176149164
4,2106.5,29.155,75.555,2340.779,0.15539000000000003,0.2159187134502924,0.08620481927710845,0.18810494799184507,0.17188939494507818,28.380937844607875,122.61273782169383,28.380937844607875,4.3202496863573225,0.46293675095377085
5,2106.625,24.709,86.679,2329.195,0.11395,0.22269298245614025,0.03263855421686747,0.17688522682125093,0.17111194875548263,28.626441097853075,104.36658637195843,28.626441097853075,3.6458107389320467,0.5061962043082167
6,2106.75,21.122,96.565,2357.771,0.08736000000000001,0.20598187134502913,0.0,0.15820919840957437,0.15820919840957437,33.224596305379315,96.565,33.224596305379315,2.9064311003943,0.5703301081416868
7,2106.875,19.583,103.814,2399.779,0.07658,0.18141578947368422,0.0,0.13924113090312093,0.13924113090312093,42.3488547738793,103.814,42.3488547738793,2.4514004110456438,0.6237996534736789
8,2107.0,20.137,107.137,2431.416,0.07422999999999999,0.16291461988304085,0.0,0.12659238972314982,0.12659238972314982,50.74877498050781,107.137,50.74877498050781,2.1111248506225113,0.6748437049406006
9,2107.125,21.704,107.994,2445.244,0.07254,0.1548280701754385,0.0,0.12090033687763345,0.12090033687763345,55.38443493385762,107.994,55.38443493385762,1.9498980197048303,0.7036588574924537
10,2107.25,22.893,107.93700000000001,2459.726,0.06948,0.14635906432748533,0.010759036144578321,0.11456100145952153,0.11332843550405945,62.626206050913986,115.83699228443363,62.626206050913986,1.8496568703245448,0.7234786175182709
11,2107.375,23.34,107.836,2467.8920000000003,0.06608,0.14158362573099398,0.01614457831325301,0.1104818751541043,0.10869819186848383,67.79186661786734,120.05623038957488,67.79186661786734,1.7709533072206725,0.7402265849200267
12,2107.5,23.070999999999998,108.29899999999999,2470.708,0.06333,0.1399368421052631,0.012903614457831301,0.1086117136371426,0.10721022995876453,69.59069401636579,117.95663261514396,69.59069401636579,1.6950058378122204,0.7575016442049229
13,2107.625,22.926,109.62700000000001,2473.632,0.06263999999999999,0.13822690058479528,0.011156626506024076,0.1073090062512902,0.10611179974781194,70.96578429655318,118.0851736233536,70.96578429655318,1.6639733470695823,0.7649044296528063
14,2107.75,23.225,111.413,2479.2870000000003,0.06467,0.13491988304093552,0.01475903614457833,0.10579599174774941,0.10423454488159287,73.41381929525002,123.21216820709384,73.41381929525002,1.6783239094477385,0.7614551450308148
15,2107.875,23.586,113.429,2484.154,0.06849,0.13207368421052632,0.019108433734939742,0.10520061349854816,0.10319039454663614,74.83166034655355,129.69393314563968,74.83166034655355,1.7331425301137644,0.7486826131956964
16,2108.0,23.084,116.236,2479.553,0.07312,0.1347643274853802,0.013060240963855418,0.10841576998432194,0.10699983390404477,69.85091561762582,127.44790178226958,69.85091561762582,1.8245702387057907,0.7286971310441438
17,2108.125,21.599,120.445,2457.393,0.07792,0.14772339181286548,0.0,0.11809683926485369,0.11809683926485369,57.90916178906026,120.445,57.90916178906026,2.079895413418909,0.6801578868060327
18,2108.25,19.767,126.53200000000001,2425.0,0.08173,0.16666666666666666,0.0,0.1312584676845227,0.1312584676845227,47.37596541792414,126.53200000000001,47.37596541792414,2.6708057320585623,0.5962816179945409
19,2108.375,18.852999999999998,134.368,2394.366,0.08405,0.18458128654970762,0.0,0.14341313371575365,0.14341313371575365,40.038798934877796,134.368,40.038798934877796,3.355944822884086,0.5287560654220596
20,2108.5,19.047,143.158,2376.988,0.08583,0.1947438596491229,0.0,0.1504858129044683,0.1504858129044683,36.5391498625416,143.158,36.5391498625416,3.9179346136555724,0.48737656204252633
21,2108.625,19.407,151.532,2372.8179999999998,0.08654,0.19718245614035101,0.0,0.1522663662952877,0.1522663662952877,35.73159729965753,151.532,35.73159729965753,4.240840361241068,0.46747904157633424
22,2108.75,19.671,157.094,2379.285,0.08551,0.1934005847953217,0.0,0.14952549330995774,0.14952549330995774,36.98631265887264,157.094,36.98631265887264,4.247354999912778,0.4671015231339904
23,2108.875,20.442,157.828,2389.491,0.08412000000000001,0.18743216374269006,0.0,0.14527042094877157,0.14527042094877157,39.07179193184067,157.828,39.07179193184067,4.03943592541968,0.479605140903018
24,2109.0,21.653000000000002,154.047,2399.114,0.08478,0.18180467836257308,0.0,0.14184602474958305,0.14184602474958305,40.883435076046915,154.047,40.883435076046915,3.7679563792391355,0.49749232612602423
25,2109.125,23.022,146.877,2400.4770000000003,0.08927,0.1810076023391811,0.012313253012048175,0.1427110454810333,0.14095380827041143,41.37652876726064,163.49213137516776,41.37652876726064,3.9513254554241786,0.4852045232781911
