DEPTH,GR,Rt,RHOB,NPHI
2124.25,60.731,29.763,2596.157,11.496
2124.375,57.763,30.657,2590.521,11.552
2124.5,53.512,31.558,2586.857,11.487
2124.625,49.228,32.27,2583.689,11.263
2124.75,46.073,32.664,2585.982,11.007
2124.875,44.36,32.752,2595.024,10.841
2125,44.05,32.592,2605.946,10.792
2125.125,44.519,32.325,2612.845,10.883
2125.25,44.848,32.077,2608.234,10.98
2125.375,45.014,31.926,2590.965,10.938
2125.5,45.25,31.871,2574.962,10.716
2125.625,45.819,31.91,2564.646,10.398
2125.75,46.397,31.999,2554.981,10.063
2125.875,46.371,32.108,2547.489,9.824
2126,45.054,32.188,2542.09,9.764
2126.125,42.837,32.232,2539.298,9.918
2126.25,40.54,32.279,2540.588,10.222
2126.375,39.525,32.376,2543.11,10.549
2126.5,40.183,32.535,2541.759,10.844
2126.625,41.803,32.696,2537.09,11.011
2126.75,43.062,32.707,2531.732,11.134
2126.875,43.084,32.431,2525.286,11.329
2127,41.826,31.842,2518.26,11.58
2127.125,40.516,31.024,2509.548,11.867
2127.25,39.861,30.125,2503.244,12.061
2127.375,40.103,29.306,2502.14,11.915
2127.5,41.04,28.638,2506.802,11.658
2127.625,42.322,28.128,2510.034,11.521
2127.75,43.454,27.732,2511.512,11.449
2127.875,44.084,27.411,2510.354,11.376
2128,43.83,27.123,2508.578,11.33
2128.125,42.794,26.872,2507.798,11.287
2128.25,41.922,26.678,2509.657,11.412
2128.375,42.182,26.543,2511.144,11.625
2128.5,43.098,26.461,2512.544,11.766
2128.625,44.066,26.398,2512.281,11.885
2128.75,44.611,26.324,2510.83,12.146
2128.875,44.368,26.227,2504.309,12.532
2129,43.582,26.134,2497.897,12.912
2129.125,42.467,26.09,2490.44,13.171
2129.25,40.622,26.155,2484.482,13.107
2129.375,39.226,26.343,2482.277,12.9
2129.5,39.281,26.585,2487.794,12.56
2129.625,40.797,26.743,2497.531,12.177
2129.75,42.494,26.714,2506.426,11.819
2129.875,43.195,26.4,2509.206,11.554
2130,42.479,25.733,2506.048,11.399
2130.125,41.426,24.835,2501.131,11.381
2130.25,40.875,23.74,2499.696,11.481
2130.375,41.515,22.664,2504.228,11.652
2130.5,43.103,21.837,2517.143,11.823
2130.625,45.848,21.3,2545.355,11.968
2130.75,48.886,20.929,2588.739,12.305
2130.875,50.442,20.657,2633.279,12.775
2131,48.852,20.275,2666.423,12.939
2131.125,44.975,19.523,2678.816,12.476
2131.25,41.296,18.262,2678.363,11.664
2131.375,40.691,16.639,2675.991,11.004
2131.5,43.31,15.02,2666.546,10.81
2131.625,47.04,13.633,2643.651,11.002
2131.75,49.651,12.54,2618.445,11.452
2131.875,51.687,11.743,2604.4,12.146
2132,53.783,11.201,2607.399,13.045
2132.125,55.564,10.819,2619.947,13.774
2132.25,56.421,10.504,2633.55,13.906
2132.375,56.365,10.227,2639.588,13.536
2132.5,56.695,10.046,2638.911,13.144
2132.625,59.367,9.993,2635.267,13.122
2132.75,64.135,10.111,2636.431,13.473
2132.875,68.962,10.423,2639.595,13.901
2133,71.956,10.94,2645.413,14.26
2133.125,72.664,11.626,2651.428,14.437
2133.25,71.32,12.391,2656.79,14.536
2133.375,69.597,13.095,2658.664,14.508
2133.5,69.246,13.669,2660.459,14.329
2133.625,70.607,14.074,2665.741,14.06
2133.75,73.875,14.294,2673.908,13.892
2133.875,78.126,14.407,2685.586,13.869
2134,81.488,14.446,2693.358,14.025
2134.125,83.389,14.427,2689.677,14.277
2134.25,84.12,14.415,2676.303,14.554
2134.375,83.379,14.451,2659.193,14.916
2134.5,82,14.646,2645.442,15.422
2134.625,80.615,15.093,2638.848,15.806
2134.75,78.355,15.749,2641.594,15.791
2134.875,75.951,16.521,2654.337,15.232
2135,74.362,17.337,2668.582,14.396
