DEPTH,GR,Rt,RHOB,NPHI,Delta_tc_m
2121.125,54.767,26.833,2521.104,14.971,236.304
2121.250,53.937,26.391,2522.286,14.624,236.425
2121.375,52.941,25.976,2523.980,13.473,234.847
2121.500,52.424,25.643,2525.088,12.201,231.596
2121.625,53.532,25.444,2529.262,11.474,227.827
2121.750,55.352,25.411,2538.516,11.415,224.768
2121.875,57.219,25.524,2551.454,11.695,221.826
2122.000,58.455,25.781,2566.990,11.765,219.070
2122.125,58.951,26.199,2575.694,11.471,216.974
2122.250,58.377,26.765,2570.635,11.065,215.545
2122.375,55.967,27.405,2550.159,10.679,215.797
2122.500,51.707,28.052,2524.923,10.275,218.699
2122.625,47.071,28.655,2501.208,9.820,223.260
2122.750,43.431,29.176,2487.341,9.345,227.605
2122.875,42.335,29.585,2485.017,9.009,230.032
2123.000,43.646,29.866,2494.892,8.980,229.809
2123.125,45.806,30.010,2510.864,9.196,228.012
2123.250,47.748,29.987,2530.383,9.557,225.755
2123.375,49.911,29.772,2552.805,9.939,222.932
2123.500,52.217,29.401,2575.438,10.270,219.506
2123.625,55.074,28.978,2595.365,10.632,216.644
2123.750,58.232,28.639,2608.806,10.988,215.336
2123.875,61.051,28.499,2613.186,11.214,214.759
2124.000,62.451,28.624,2609.761,11.377,213.964
2124.125,62.302,29.053,2603.615,11.476,213.060
2124.250,60.731,29.763,2596.157,11.496,212.896
2124.375,57.763,30.657,2590.521,11.552,213.987
2124.500,53.512,31.558,2586.857,11.487,215.854
2124.625,49.228,32.270,2583.689,11.263,217.405
2124.750,46.073,32.664,2585.982,11.007,218.173
2124.875,44.360,32.752,2595.024,10.841,218.539
2125.000,44.050,32.592,2605.946,10.792,218.574
2125.125,44.519,32.325,2612.845,10.883,217.744
2125.250,44.848,32.077,2608.234,10.980,216.405
2125.375,45.014,31.926,2590.965,10.938,215.968
2125.500,45.250,31.871,2574.962,10.716,216.738
2125.625,45.819,31.910,2564.646,10.398,218.042
2125.750,46.397,31.999,2554.981,10.063,219.454
2125.875,46.371,32.108,2547.489,9.824,220.908
2126.000,45.054,32.188,2542.090,9.764,222.455
2126.125,42.837,32.232,2539.298,9.918,224.252
2126.250,40.540,32.279,2540.588,10.222,226.079
2126.375,39.525,32.376,2543.110,10.549,227.452
2126.500,40.183,32.535,2541.759,10.844,227.969
2126.625,41.803,32.696,2537.090,11.011,227.519
2126.750,43.062,32.707,2531.732,11.134,227.064
2126.875,43.084,32.431,2525.286,11.329,227.657
2127.000,41.826,31.842,2518.260,11.580,229.457
2127.125,40.516,31.024,2509.548,11.867,232.067
2127.250,39.861,30.125,2503.244,12.061,234.868
2127.375,40.103,29.306,2502.140,11.915,236.849
2127.500,41.040,28.638,2506.802,11.658,237.518
2127.625,42.322,28.128,2510.034,11.521,236.987
2127.750,43.454,27.732,2511.512,11.449,235.779
2127.875,44.084,27.411,2510.354,11.376,234.941
2128.000,43.830,27.123,2508.578,11.330,234.868
2128.125,42.794,26.872,2507.798,11.287,235.674
2128.250,41.922,26.678,2509.657,11.412,237.020
2128.375,42.182,26.543,2511.144,11.625,238.019
2128.500,43.098,26.461,2512.544,11.766,238.077
2128.625,44.066,26.398,2512.281,11.885,237.841
2128.750,44.611,26.324,2510.830,12.146,237.635
2128.875,44.368,26.227,2504.309,12.532,237.559
2129.000,43.582,26.134,2497.897,12.912,238.050
2129.125,42.467,26.090,2490.440,13.171,239.353
2129.250,40.622,26.155,2484.482,13.107,240.589
2129.375,39.226,26.343,2482.277,12.900,241.022
2129.500,39.281,26.585,2487.794,12.560,240.807
2129.625,40.797,26.743,2497.531,12.177,239.902
2129.750,42.494,26.714,2506.426,11.819,238.458
2129.875,43.195,26.400,2509.206,11.554,237.414
2130.000,42.479,25.733,2506.048,11.399,237.216
2130.125,41.426,24.835,2501.131,11.381,237.396
2130.250,40.875,23.740,2499.696,11.481,238.079
2130.375,41.515,22.664,2504.228,11.652,238.860
2130.500,43.103,21.837,2517.143,11.823,238.693
2130.625,45.848,21.300,2545.355,11.968,237.378
2130.750,48.886,20.929,2588.739,12.305,235.052
2130.875,50.442,20.657,2633.279,12.775,231.069
2131.000,48.852,20.275,2666.423,12.939,225.153
2131.125,44.975,19.523,2678.816,12.476,218.570
2131.250,41.296,18.262,2678.363,11.664,213.436
2131.375,40.691,16.639,2675.991,11.004,211.793
2131.500,43.310,15.020,2666.546,10.810,213.672
2131.625,47.040,13.633,2643.651,11.002,217.174
2131.750,49.651,12.540,2618.445,11.452,221.500
2131.875,51.687,11.743,2604.400,12.146,226.276
2132.000,53.783,11.201,2607.399,13.045,230.298
2132.125,55.564,10.819,2619.947,13.774,232.860
2132.250,56.421,10.504,2633.550,13.906,234.346
2132.375,56.365,10.227,2639.588,13.536,234.093
2132.500,56.695,10.046,2638.911,13.144,232.566
2132.625,59.367,9.993,2635.267,13.122,230.751
2132.750,64.135,10.111,2636.431,13.473,229.922
2132.875,68.962,10.423,2639.595,13.901,230.289
2133.000,71.956,10.940,2645.413,14.260,230.454
2133.125,72.664,11.626,2651.428,14.437,229.196
2133.250,71.320,12.391,2656.790,14.536,228.393
2133.375,69.597,13.095,2658.664,14.508,228.125
2133.500,69.246,13.669,2660.459,14.329,226.587
2133.625,70.607,14.074,2665.741,14.060,225.034
2133.750,73.875,14.294,2673.908,13.892,225.236
2133.875,78.126,14.407,2685.586,13.869,225.648
2134.000,81.488,14.446,2693.358,14.025,225.496
2134.125,83.389,14.427,2689.677,14.277,225.348
2134.250,84.120,14.415,2676.303,14.554,224.747
2134.375,83.379,14.451,2659.193,14.916,224.298
2134.500,82.000,14.646,2645.442,15.422,225.016
2134.625,80.615,15.093,2638.848,15.806,225.779
2134.750,78.355,15.749,2641.594,15.791,225.433
2134.875,75.951,16.521,2654.337,15.232,224.358
2135.000,74.362,17.337,2668.582,14.396,222.573
